label	run	exit	secs	nfind	hits	other	bugs
qwen38-nothink-ctx48k	1	4	584	3	3	0	import_after_guard,migrate_discard,export_exit0
qwen38-nothink-ctx48k	2	4	718	3	3	0	import_after_guard,migrate_discard,export_exit0
qwen38-nothink-ctx64k	1	4	725	3	3	0	migrate_discard,import_after_guard,export_exit0
qwen38-nothink-ctx64k	2	4	693	4	4	0	import_after_guard,migrate_discard,export_exit0,export_default_ns
qwen38-nothink-ctx96k	1	4	630	4	4	0	import_after_guard,migrate_discard,cache_evict,export_exit0
qwen38-nothink-ctx96k	2	4	623	3	3	0	migrate_discard,import_after_guard,export_exit0
qwen38-nothink-angleB	1	4	771	1	1	0	migrate_discard
qwen38-nothink-r6	1	4	689	4	4	0	import_after_guard,migrate_discard,export_exit0,export_default_ns
qwen38-nothink-r6	2	4	598	3	3	0	import_after_guard,migrate_discard,export_exit0
qwen38-think-bigdiff	1	4	690	3	3	0	migrate_discard,cache_evict,export_exit0
qwen38-think-bigdiff	2	4	571	3	3	0	migrate_discard,import_after_guard,export_exit0
qwen38-nothink-purpose	1	4	820	5	5	0	import_after_guard,migrate_discard,export_default_ns,export_exit0,cache_evict
qwen38-nothink-purpose	2	4	665	3	3	0	import_after_guard,migrate_discard,export_exit0
qwen38-nothink-purpose-b	1	4	1243	5	4	1	migrate_discard,import_after_guard,export_default_ns,export_exit0
qwen38-nothink-purpose-b	2	4	788	5	5	0	import_after_guard,migrate_discard,cache_evict,export_exit0,export_default_ns
qwen38-nothink-purpose-b	3	3	1298	0	0	0	EMPTY-LOG
qwen38-nothink-purpose-c	1	4	654	4	4	0	import_after_guard,migrate_discard,export_exit0,export_default_ns
qwen38-nothink-purpose-c	2	4	550	3	3	0	import_after_guard,migrate_discard,export_exit0
qwen38-nothink-purpose2	1	4	784	4	4	0	import_after_guard,migrate_discard,cache_evict,export_exit0
qwen38-nothink-purpose2	2	4	699	3	3	0	import_after_guard,migrate_discard,export_exit0
qwen38-nothink-purpose2	3	4	704	4	4	0	migrate_discard,import_after_guard,export_exit0,cache_evict
qwen38-nothink-purpose2-c	1	4	730	4	4	0	migrate_discard,import_after_guard,export_exit0,export_default_ns
qwen38-nothink-purpose2-c	2	4	588	4	4	0	migrate_discard,import_after_guard,export_exit0,export_default_ns
qwen38-nothink-anglSC-big	1	1	0	0	0	0	EMPTY-LOG
qwen38-nothink-anglSC-big-b	1	4	767	2	0	2	-
qwen38-nothink-vfy-big	1	127	708	0	0	0	EMPTY-LOG
qwen38-nothink-vfy-big-b2	1	4	1011	4	4	4	migrate_discard,import_after_guard,cache_evict,export_exit0
